timestamp,accuracy,content,label
20221011163314886,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011163231609,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011163148311,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011163148255,100,{'Tilting': 100},Tilting
20221011163102357,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011163018617,27,"{'InVehicle': 22, 'OnBycicle': 6, 'OnFoot': 26, 'Running': 1, 'Still': 27, 'Unknown': 2, 'Walking': 26}",Still
20221011162944478,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162858573,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162810102,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162730378,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162648736,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162602882,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162528521,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162440846,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162403661,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162327711,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162248214,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162202315,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162202263,100,{'Tilting': 100},Tilting
20221011162131945,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162046025,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011162006593,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011161932876,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011161932821,100,{'Tilting': 100},Tilting
20221011161846906,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011161846852,100,{'Tilting': 100},Tilting
20221011161805721,40,"{'InVehicle': 10, 'OnBycicle': 10, 'OnFoot': 10, 'Running': 10, 'Still': 10, 'Unknown': 40, 'Walking': 10}",Unknown
20221011161805589,100,{'Tilting': 100},Tilting
20221011161719972,100,{'Still': 100},Still
20221011161719912,100,{'Tilting': 100},Tilting
20221011161647418,100,{'Still': 100},Still
20221011161607169,100,{'Still': 100},Still
