timestamp,label,accuracy,content
20221011084333197,Still,100,{'Still': 100}
20221011084351099,Still,100,{'Still': 100}
20221011084801092,Still,100,{'Still': 100}
20221011084911749,Still,100,{'Still': 100}
20221011085013062,Still,100,{'Still': 100}
20221011085229836,Still,100,{'Still': 100}
20221011085456981,Still,100,{'Still': 100}
20221011085636216,Still,100,{'Still': 100}
20221011090052483,Still,100,{'Still': 100}
20221011091328987,Still,100,{'Still': 100}
20221011092459197,Still,100,{'Still': 100}
20221011093800023,Still,100,{'Still': 100}
20221011094056503,Still,100,{'Still': 100}
20221011094223103,Still,100,{'Still': 100}
20221011094243879,Still,26,"{'InVehicle': 24, 'OnBycicle': 5, 'OnFoot': 22, 'Running': 1, 'Still': 26, 'Unknown': 2, 'Walking': 22}"
20221011094322046,Still,100,{'Still': 100}
20221011094332622,Still,100,{'Still': 100}
20221011094359619,Still,100,{'Still': 100}
20221011094417839,Still,53,"{'InVehicle': 8, 'OnBycicle': 5, 'OnFoot': 24, 'Still': 53, 'Unknown': 2, 'Walking': 24}"
20221011094457995,Still,33,"{'InVehicle': 26, 'OnBycicle': 10, 'OnFoot': 11, 'Still': 33, 'Unknown': 2, 'Walking': 11}"
20221011094534330,Still,33,"{'InVehicle': 24, 'OnBycicle': 5, 'OnFoot': 22, 'Still': 33, 'Unknown': 2, 'Walking': 22}"
20221011094612077,Still,98,"{'InVehicle': 1, 'Still': 98, 'Unknown': 1}"
20221011094647469,Still,100,{'Still': 100}
20221011094803282,Still,100,{'Still': 100}
20221011095007276,Still,29,"{'InVehicle': 22, 'OnBycicle': 13, 'OnFoot': 21, 'Running': 2, 'Still': 29, 'Unknown': 2, 'Walking': 21}"
20221011095019450,Still,100,{'Still': 100}
20221011095057102,Still,100,{'Still': 100}
20221011095252895,Still,100,{'Still': 100}
20221011095458239,Still,100,{'Still': 100}
20221011095800434,Still,100,{'Still': 100}
20221011095814043,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011100652802,Still,100,{'Still': 100}
20221011105949722,Still,100,{'Still': 100}
20221011110000352,Still,100,{'Still': 100}
20221011111554487,Still,100,{'Still': 100}
20221011115121496,Still,100,{'Still': 100}
20221011115239791,Still,100,{'Still': 100}
20221011115245172,Still,100,{'Still': 100}
20221011115503956,Still,44,"{'InVehicle': 23, 'OnBycicle': 2, 'OnFoot': 11, 'Still': 44, 'Unknown': 1, 'Walking': 11}"
20221011115541535,Still,100,{'Still': 100}
20221011122804153,Still,100,{'Still': 100}
20221011122848321,Still,100,{'Still': 100}
20221011122925728,Still,97,"{'InVehicle': 1, 'OnFoot': 1, 'Still': 97, 'Unknown': 1, 'Walking': 1}"
20221011123013095,Still,100,{'Still': 100}
20221011123057614,Still,100,{'Still': 100}
20221011123138009,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011123206217,Still,99,"{'Still': 99, 'Unknown': 1}"
20221011123329097,Still,50,"{'InVehicle': 20, 'OnBycicle': 1, 'OnFoot': 8, 'Still': 50, 'Unknown': 2, 'Walking': 8}"
20221011123405379,Still,100,{'Still': 100}
20221011123442792,Still,100,{'Still': 100}
20221011123520170,Still,100,{'Still': 100}
20221011123606529,Still,100,{'Still': 100}
20221011123646366,Still,100,{'Still': 100}
20221011123723994,Still,97,"{'InVehicle': 1, 'OnFoot': 1, 'Still': 97, 'Unknown': 1, 'Walking': 1}"
20221011123855120,Still,96,"{'OnBycicle': 2, 'Still': 96, 'Unknown': 2}"
